iter	RMSE
0	1.522724303
1	1.370584776
2	1.239512187
3	1.125147672
4	1.026900859
5	0.9415905648
6	0.8678329475
7	0.8060642016
8	0.7532392747
9	0.7088919792
10	0.6720352869
11	0.6411262996
12	0.6154360082
13	0.5945009292
14	0.5770394135
15	0.5630959111
16	0.551552775
17	0.5421911173
18	0.5344022661
19	0.5281852888
20	0.5232167932
21	0.5191349947
22	0.5159071861
23	0.5132619799
24	0.5111119477
25	0.5093704274
26	0.5079553128
27	0.5067599639
28	0.5058026743
29	0.5049962309
30	0.504338766
31	0.5038036591
32	0.5033541646
33	0.5030083099
34	0.5027023259
35	0.5024591017
36	0.5022584741
37	0.5021144391
38	0.5019695141
39	0.5018428967
40	0.5017453549
41	0.501667355
42	0.501590408
43	0.5015234449
44	0.5014703173
45	0.5014251408
46	0.5013884643
47	0.5013605625
48	0.5013344827
49	0.5013092287
50	0.5012809653
51	0.5012583767
52	0.5012423493
53	0.5012284374
54	0.5012167623
55	0.5012002614
56	0.5011908582
57	0.5011804856
58	0.5011651345
59	0.5011574684
60	0.5011501886
61	0.5011387478
62	0.5011311778
63	0.5011228203
64	0.5011139237
65	0.5011062007
66	0.5010980186
67	0.501091677
68	0.5010847948
69	0.5010794414
70	0.5010704716
71	0.5010652943
72	0.5010592172
73	0.5010526781
74	0.5010471991
75	0.501040675
76	0.5010318186
77	0.5010250288
78	0.501020397
79	0.501015715
80	0.5010062481
81	0.5010020092
82	0.5009962614
83	0.500990155
84	0.5009864903
85	0.5009811692
86	0.500977465
87	0.5009736393
88	0.5009683875
89	0.5009641776
90	0.5009527364
91	0.5009484328
92	0.5009441819
93	0.5009379652
94	0.5009325764
95	0.5009237827
96	0.5009184723
97	0.5009151925
98	0.5009109991
99	0.50090588
100	0.500899944
101	0.5008917268
102	0.500882858
103	0.5008800213
104	0.5008711245
105	0.5008662412
106	0.5008610701
107	0.500857132
108	0.500853906
109	0.5008467982
110	0.5008436647
111	0.5008389227
112	0.5008328738
113	0.5008260335
114	0.5008192503
115	0.5008142589
116	0.5008023838
117	0.5007943092
