iter	Passed	Remaining
0	87	87797
1	109	54786
2	131	43559
3	152	38091
4	175	34854
5	196	32548
6	218	30959
7	240	29778
8	267	29401
9	292	28953
10	313	28184
11	334	27571
12	355	27023
13	377	26582
14	398	26167
15	419	25803
16	441	25539
17	467	25499
18	493	25454
19	515	25271
20	544	25402
21	571	25408
22	593	25231
23	615	25010
24	636	24807
25	656	24605
26	678	24457
27	698	24240
28	717	24025
29	738	23873
30	758	23718
31	780	23601
32	801	23484
33	822	23356
34	840	23179
35	860	23030
36	879	22893
37	899	22776
38	919	22667
39	940	22561
40	959	22448
41	983	22424
42	1006	22406
43	1026	22303
44	1045	22181
45	1065	22107
46	1083	21974
47	1102	21872
48	1123	21809
49	1145	21757
50	1163	21656
51	1182	21565
52	1205	21531
53	1224	21449
54	1243	21360
55	1263	21297
56	1282	21212
57	1301	21135
58	1320	21059
59	1337	20961
60	1356	20886
61	1376	20823
62	1396	20777
63	1415	20701
64	1435	20643
65	1453	20567
66	1473	20513
67	1491	20447
68	1512	20402
69	1534	20388
70	1554	20333
71	1574	20290
72	1593	20239
73	1611	20164
74	1629	20095
75	1649	20049
76	1667	19993
77	1688	19963
78	1710	19941
79	1731	19915
80	1748	19840
81	1766	19773
82	1786	19740
83	1808	19717
84	1827	19677
85	1847	19631
86	1866	19590
87	1886	19546
88	1906	19512
89	1924	19463
90	1945	19437
91	1965	19396
92	1982	19339
93	2001	19291
94	2020	19252
95	2041	19221
96	2060	19178
97	2077	19119
98	2098	19099
99	2119	19078
100	2138	19033
101	2159	19015
102	2178	18970
103	2198	18944
104	2217	18901
105	2236	18860
106	2254	18817
107	2272	18769
108	2290	18721
109	2309	18688
110	2329	18653
111	2350	18636
112	2369	18598
113	2388	18565
114	2408	18533
115	2427	18500
116	2447	18473
117	2469	18461
118	2488	18420
119	2506	18382
120	2525	18346
121	2544	18308
122	2563	18278
123	2583	18252
124	2603	18227
125	2625	18209
126	2643	18170
127	2662	18137
128	2684	18126
129	2705	18108
130	2724	18073
131	2746	18063
132	2766	18034
133	2785	18002
134	2805	17974
135	2823	17937
136	2841	17899
137	2858	17856
138	2880	17845
139	2901	17824
140	2919	17785
141	2936	17742
142	2957	17723
143	2977	17697
144	2999	17689
145	3019	17662
146	3037	17624
147	3055	17588
148	3075	17564
149	3094	17536
150	3113	17504
151	3133	17481
152	3152	17451
153	3173	17431
154	3192	17403
155	3213	17386
156	3231	17352
157	3251	17327
158	3269	17291
159	3289	17270
160	3309	17245
161	3327	17214
162	3348	17194
163	3368	17172
164	3386	17139
165	3404	17105
166	3424	17080
167	3442	17049
168	3461	17021
169	3480	16991
170	3500	16969
171	3521	16951
172	3539	16920
173	3558	16892
174	3580	16881
175	3601	16860
176	3620	16835
177	3640	16812
178	3660	16790
179	3680	16768
180	3700	16743
181	3720	16722
182	3742	16710
183	3761	16681
184	3780	16655
185	3800	16632
186	3819	16606
187	3840	16587
188	3858	16557
189	3876	16527
190	3895	16501
191	3914	16471
192	3933	16447
193	3951	16418
194	3971	16395
195	3993	16380
196	4013	16358
197	4031	16328
198	4051	16307
199	4071	16285
200	4089	16257
201	4107	16227
202	4128	16208
203	4146	16177
204	4167	16161
205	4186	16137
206	4205	16109
207	4224	16085
208	4244	16063
209	4265	16045
210	4285	16024
211	4304	15998
212	4325	15980
213	4344	15955
214	4365	15940
215	4383	15911
216	4401	15882
217	4421	15859
218	4439	15831
219	4456	15800
220	4475	15775
221	4494	15750
222	4515	15734
223	4535	15712
224	4554	15687
225	4572	15659
226	4592	15639
227	4613	15622
228	4633	15599
229	4652	15574
230	4670	15546
231	4689	15522
232	4709	15502
233	4729	15481
234	4749	15459
235	4769	15441
236	4790	15422
237	4812	15407
238	4833	15391
239	4852	15367
240	4870	15339
241	4890	15319
242	4909	15294
243	4929	15272
244	4947	15246
245	4965	15218
246	4983	15193
247	5001	15165
248	5019	15140
249	5040	15121
250	5059	15097
251	5077	15071
252	5096	15047
253	5113	15019
254	5133	14997
255	5155	14983
256	5175	14961
257	5194	14939
258	5212	14912
259	5233	14894
260	5254	14876
261	5273	14854
262	5292	14832
263	5311	14808
264	5330	14785
265	5349	14762
266	5368	14737
267	5388	14718
268	5408	14698
269	5430	14683
270	5449	14659
271	5470	14642
272	5489	14618
273	5507	14593
274	5527	14572
275	5545	14546
276	5564	14523
277	5582	14498
278	5603	14479
279	5623	14461
280	5642	14438
281	5663	14420
282	5683	14399
283	5703	14378
284	5724	14360
285	5744	14341
286	5763	14317
287	5782	14294
288	5800	14271
289	5820	14250
290	5840	14230
291	5861	14212
292	5880	14189
293	5898	14163
294	5918	14145
295	5940	14129
296	5961	14110
297	5980	14087
298	5999	14064
299	6018	14043
300	6038	14022
301	6058	14002
302	6077	13980
303	6096	13958
304	6115	13935
305	6134	13912
306	6153	13889
307	6172	13868
308	6193	13849
309	6211	13826
310	6230	13802
311	6249	13779
312	6268	13758
313	6287	13735
314	6304	13710
315	6324	13690
316	6344	13670
317	6366	13654
318	6385	13631
319	6406	13613
320	6424	13590
321	6443	13566
322	6461	13543
323	6480	13520
324	6498	13497
325	6517	13474
326	6536	13453
327	6555	13430
328	6576	13411
329	6594	13388
330	6613	13367
331	6633	13346
332	6652	13325
333	6673	13306
334	6692	13285
335	6710	13261
336	6730	13240
337	6753	13226
338	6770	13201
339	6789	13178
340	6808	13157
341	6828	13137
342	6849	13119
343	6866	13095
344	6886	13074
345	6906	13053
346	6924	13030
347	6944	13011
348	6965	12992
349	6983	12969
350	7001	12945
351	7020	12923
352	7040	12904
353	7059	12882
354	7077	12859
355	7095	12835
356	7115	12815
357	7136	12798
358	7154	12773
359	7172	12750
360	7192	12731
361	7210	12707
362	7228	12685
363	7247	12663
364	7266	12642
365	7287	12623
366	7306	12602
367	7325	12580
368	7344	12558
369	7363	12537
370	7383	12517
371	7402	12497
372	7421	12474
373	7442	12456
374	7461	12435
375	7480	12414
376	7499	12392
377	7518	12370
378	7538	12352
379	7557	12329
380	7575	12308
381	7594	12286
382	7613	12264
383	7632	12243
384	7652	12224
385	7672	12204
386	7692	12185
387	7710	12162
388	7728	12139
389	7748	12119
390	7766	12096
391	7786	12076
392	7805	12055
393	7824	12033
394	7842	12012
395	7862	11991
396	7880	11969
397	7899	11948
398	7918	11927
399	7937	11906
400	7959	11889
401	7979	11869
402	7999	11850
403	8018	11829
404	8038	11809
405	8056	11786
406	8075	11766
407	8094	11745
408	8113	11724
409	8132	11702
410	8150	11681
411	8171	11661
412	8191	11641
413	8212	11623
414	8232	11604
415	8251	11584
416	8270	11562
417	8289	11541
418	8307	11519
419	8328	11500
420	8346	11478
421	8365	11458
422	8384	11437
423	8402	11415
424	8421	11393
425	8439	11371
426	8459	11351
427	8478	11331
428	8498	11311
429	8517	11290
430	8535	11268
431	8554	11247
432	8571	11224
433	8591	11204
434	8610	11183
435	8630	11164
436	8653	11148
